,Park Name,Site Street Address,Site City,Site Zip Code
1,Dekalb Lake,720 County Road 194,Sylvania,35988-2234
2,Ray Vick's RV Park,23937 County Road 38,Summerdale,36580-3259
3,Rainbow Plantation,14301 County Road 28,Summerdale,36580-4073
4,American RV Park,208 N Highway 59,Summerdale,36580
5,Camp Delta,8880 Bryants Landing Rd,Stockton,36579-4132
6,Delaney's Travel Trailer Park,568 Thomas St,Stevenson,35772-3302
7,Horse Pens,3525 County Road 42,Steele,35987-3832
8,Blakeley Historic Park,24280 Patterson Rd,Spanish Fort,36577-7279
9,Wilderness RV Park,819 County Road 152,Robertsdale,36567-4304
10,Camp Cross,Rr 2 Box 1,Section,35771-8907
11,Goose Pond Colony Colony Crse,4320 S Broad St,Scottsboro,35768-9802
12,Crawford RV/Mobile Home Park,3784 Scottsboro Hwy,Scottsboro,35769-7421
13,Clay RV Park,4401 Mclean Dr,Scottsboro,35769-9417
14,Bear Creek Development Auth,502 4th St Nw,Russellville,35653-0670
15,Joe Wheeler State Park Resort,1402 7th St Nw,Rogersville,35652-6409
16,Camper's Choice Inc,2133 Highway 82 W,Red Bay,35582
17,Allegro Campground,9276 Cedar Mountain Rd,Red Bay,35582-3951
18,Kountry Air,1302 County Road 59,Prattville,36067-7834
19,K & K Camping Ctr,5 Ponderosa Dr.,Prattville,36068-0897
20,Zamora Park,10 Powells Hideaway Rd,Pinson,35126-2421
21,Spring Valley Ranch,1200 Knoxs Landing Rd,Piedmont,36272-4506
22,Ponderosa RV Park,4350 Sassafras Cir,Phenix City,35128-6968
23,Powell's Campground,222 Highway 33,Pell City,35128-7335
24,Knox Landing Campgrounds,222 Highway 33,Pell City,36105-3035
25,Wood RV Park & Campground,29235 Perdido Beach Blvd,Montgomery,35124-0278
26,Oak Mountain State Park,,Pelham,35124-1821
27,Carson Village Mobile Home,,Pelham,35124-1821
28,Birmingham South Campground,,Pelham,36561-3312
29,Perdido Key RV Park,,Orange Beach,35474-0066
30,Moundville Archaeological Park,,Moundville,
31,Live Oak Landing,15551 Moffett Rd,Wilmer,36587-3051
32,Lazy Lake RV Park,2521 W Fort Toulouse Rd,Wetumpka,36093-1112
33,Lake Lurleen Road RV Park,8180 Lee Road 279,Valley,36854-7718
34,Isaac Creek Campground,370 Rickwood Park Rd,Warrior,35180-3568
35,Fort Rucker RV Park,1438 County Road 731,Vandiver,35176-0121
36,Deer Run Mobile Home Park,12278 Al Highway 14 W # 30,Valley Head,35989-4907
37,Clevenger's Marina Park & Rec,2189 Ben Brown Rd,Valley Grande,36701-1646
38,Beulah Camp Grounds,1770 Neil Morris Rd,Valley,36854-6016
39,Escatawpa Hollow Campground,6171 Highway 90,Tuscumbia,35674-8515
40,Fort Toulouse Jackson Park,7970 Bellingrath Rd,Theodore,36582-1809
41,Halawaka Campgrounds,6680 Old Pascagoula Rd,Theodore,36582-2763
42,Rickwood Caverns State Park,6430 Theodore Dawes Rd,Theodore,36582
43,Gymno Vita Nudist Park,7690 Bellingrath Rd,Theodore,36582-3956
44,Sequoyah Caverns & Campgrounds,10420 Us Highway 31 # 67,Theodore,36582-2398
45,Sparks RV Park,1546 Grist Rd,Tanner,35671-3506
46,B & B Mh & RV Park,23937 County Road 38,Selma,36701-0664
47,Heritage Acres RV Park,14301 County Road 28,Summerdale,36580-3259
48,Shady Grove Mobile Home Park,208 N Highway 59,Summerdale,36580-4073
49,Payne's RV Park Inc,8880 Bryants Landing Rd,Summerdale,36580
50,Old Pascagoula Road RV Park,568 Thomas St,Stockton,36579-4132
51,I 10 Kampground,451 Service Park Rd,Stevenson,35772-3302
52,Bellingrath RV Park,,Silas,36919-9506
53,Swann Creek Community,,,
54,Paul M Grist State Park,,,
55,Ray Vick's RV Park,,,
56,Rainbow Plantation,,,
57,American RV Park,,,
58,Camp Delta,,,
59,Delaney's Travel Trailer Park,,,
60,Service Park Campground,,,
61,Heritage RV Resort and Marina,28888 Canal Road,Orange Beach,36561
62,MAGNOLIA RV PARK II,13361 Lipscomb Road,Foley,36535
63,"Camp Delta, Inc.",8888 Bryants Landing Rd.,Stockton,36426
64,Brewton RV Park,6171 Old Highway 31,Brewton,35582
65,Red Bay Downtown RV Park,254 5th Ave,Red Bay,36535
66,Magnolia Farms RV Park,13381 Libscomb Road,Foley,35611
67,Little Elk Rv Park,17062 Little Elk Rd.,Athens,35677
68,Hart Park,717 Golden Rd,Waterloo,35582
69,Red Bay Self Service RV Park,3320 Hamilton Blvd,Red Bay,36582
70,SawGrass Landing Waterfront RV Park,10174 Co. Rd. 67,Theodore,35755
71,Windemere Cove RV Resort,8718 Lee Road 246,Langston,36877
72,Sawyer's Mobile Home Estates & RV Park,13650 Smiley St,Smiths Station,36576-3270
73,Wales West Train/Grdn RV Resrt,2414 N Us Highway 231,Silverhill,36360
74,Ozark / Fort Rucker,2500 Old Military Rd,Ozark,36605-3390
75,Shady Acres Campground,11650 County Rd 99,Mobile,36549
76,Koa Gulf Shores/Pensacola West,1450 Cha La Kee Rd,Lillian,35976
77,Riverview Campground,2595 Highway 10,Guntersville,36017
78,Blue Springs State Park,1727 Convictcamp Road,Clio,35976
79,Blue Heron RV,23420 County Road 64,Guntersville,36567-4044
80,Shady Grove Campground,344 Jernigan Rd,Robertsdale,36426
81,Rainbow Plantation,,Brewton,
82,Prairie Creek Park Campgrounds,,,
83,Parkway RV Camp,,,
84,Ozark Travel Park & Store,,,
85,Magnolia Springs Par 3 Golf,,,
86,Live Oak Landing,,,
87,Isaac Creek Campground,,,
88,Fort Rucker RV Park,,,
89,Hilltop RV Park,,,
90,Alice's RV Park,,,
91,DJ's Peanut Patch RV. Park,368 County Road 528,Elba,36323
92,Last Resort RV Community,9972 Expedition Drive,Foley,36535
93,Spanish Cove,2129 Club House Drive,Lillian,36549
94,Lake Osprey RV Resort,11831 Gateway Dr,Elberta,36530
95,Paradise Found RV Resort and Marina,11551 Dauphin Island Parkway,Theodore,36582
96,Lake Osprey RV Resort,12054 Gateway Dr,Elberta,36530
97,Big Wills Campground & Tubing,2075 Alabama 77,Attalla,35954
98,Whispering Pines RV Resor West,15558 Co Rd 8,Gulf Shores,36542
99,Grand Riviera RV Resort,20750 Mifflin Rd,Foley,36535
100,Whispering Pines RV Resort East,19648 County Road 8,Gulf Shores,36542
101,Forest Acres,1717 Elba Highway,Troy,36079
102,Lake Osprey RV Resort,12126 Gateway Drive,Elberta,36530
103,Creekside RV Resort,21240 Miflin Road,Foley,36535
104,Bella Terra RV Resort of Gulf Shored,101 Viabella Terrace,Foley,36535
105,Cedar Creek Marina,1551 Cedar Creek Road,Sylacauga,35151
106,Nubia's Shade Tree RV Park,15308 Mccormick Lane,Athens,35611
107,THE PLANTATION AT FISH RIVER - 2 ACRE LOTS,12870 Fish River Road,Foley,36535
108,Sunchase RV Park,11853 Grantham Rd,Foley,36535
109,The Plantations At Fish River,12870 Fish River Road,Foley,36535
110,Wind Creek Atmore RV Park,303 Poarch Road,Atmore,36502
111,Lake Naomi RV Park,2765 Alabama Highway 55,Florala,36442
112,Northgate RV Travel Park,1757 U.S. 31,Athens,35613
113,Cypress Landing RV Park,32249 Riverland Drive,Dozier,36028
114,Ahoy RV Resort,13000 Springsteen Lane,Foley,36535
115,Terry Cove Motor Coach Resort,4650 Griffith Marina Rd,Orange Beach,36561
116,Buena Vista RV Resort,23601 Perdido Beach Blvd,Orange Beach,36561
117,Lake Early R.V Park,5085 Topton Rd.,Mcintosh,36553
118,Keefes Korner RV Park,1301 Lee Road 380,Valley,36854
119,Twin Creeks RV Park,366 Foshee Road,Brewton,36426
120,Just Loafin RV Park,7551 Alabama 153,Samson,36477
