,Title,Title_link
1,Introduction to Programming & Python | Python Tutorial - Day #1,https://www.youtube.com/watch?v=7wnove7K-ZQ&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=1&pp=iAQB
2,Some Amazing Python Programs - The Power of Python | Python Tutorial - Day #2,https://www.youtube.com/watch?v=Tto8TS-fJQU&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=2&pp=iAQB
3,Modules and Pip | Python Tutorial - Day #3,https://www.youtube.com/watch?v=xwKO_y2gHxQ&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=3&pp=iAQB
4,Our First Python Program | Python Tutorial - Day #4,https://www.youtube.com/watch?v=7IWOYhfAcVg&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=4&pp=iAQB
5,"Comments, Escape Sequences & Print Statement | Python Tutorial - Day #5",https://www.youtube.com/watch?v=qxPMmW93eDs&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=5&pp=iAQB0gcJCdoKAYcqIYzv
6,Variables and Data Types | Python Tutorial - Day #6,https://www.youtube.com/watch?v=ORCuz7s5cCY&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=6&pp=iAQB
7,Exercise 1: Calculator using Python | Python Tutorial - Day #7,https://www.youtube.com/watch?v=FLVqcxnJP_E&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=7&pp=iAQB
8,Exercise 1: Calculator using Python (Solution) | Python Tutorial - Day #8,https://www.youtube.com/watch?v=dohaSBCKCr0&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=8&pp=iAQB
9,Typecasting in Python | Python Tutorial - Day #9,https://www.youtube.com/watch?v=Pu5bqySSSS0&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=9&pp=iAQB
10,Taking User Input in Python | Python Tutorial - Day #10,https://www.youtube.com/watch?v=WvG-R-xXouA&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=10&pp=iAQB
11,Strings in Python | Python Tutorial - Day #11,https://www.youtube.com/watch?v=kMNFQYArrLg&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=11&pp=iAQB
12,Strings Slicing and Operations on Strings in Python | Python Tutorial - Day #12,https://www.youtube.com/watch?v=8jW7lpT8HW8&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=12&pp=iAQB
13,String Methods in Python | Python Tutorial - Day #13,https://www.youtube.com/watch?v=0INvoK_T0cE&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=13&pp=iAQB
14,If Else Conditional Statements in Python | Python Tutorial - Day #14,https://www.youtube.com/watch?v=ceiuLR2ysas&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=14&pp=iAQB
15,Exercise 2: Good Morning Sir | Python Tutorial - Day #15,https://www.youtube.com/watch?v=d7ng_aV4qdI&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=15&pp=iAQB
16,Match Case Statements in Python | Python Tutorial - Day #16,https://www.youtube.com/watch?v=bthQCK1QAmQ&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=16&pp=iAQB0gcJCdoKAYcqIYzv
17,For Loops in Python | Python Tutorial - Day #17,https://www.youtube.com/watch?v=fIYVzKp0q5w&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=17&pp=iAQB0gcJCdoKAYcqIYzv
18,While Loops in Python | Python Tutorial - Day #18,https://www.youtube.com/watch?v=-tCFyIyKVx0&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=18&pp=iAQB
19,break and continue in Python | Python Tutorial - Day #19,https://www.youtube.com/watch?v=RkwJnjdrm70&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=19&pp=iAQB
20,Functions in Python | Python Tutorial - Day #20,https://www.youtube.com/watch?v=dyvxxJSGUsE&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=20&pp=iAQB0gcJCdoKAYcqIYzv
21,Function Arguments in Python | Python Tutorial - Day #21,https://www.youtube.com/watch?v=0d6b6fFuCkE&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=21&pp=iAQB
22,Introduction to Lists in Python | Python Tutorial - Day #22,https://www.youtube.com/watch?v=eF6nK5bSlmg&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=22&pp=iAQB
23,List Methods in Python | Python Tutorial - Day #23,https://www.youtube.com/watch?v=scWc3F8LbOo&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=23&pp=iAQB
24,Tuples in Python | Python Tutorial - Day #24,https://www.youtube.com/watch?v=PipsOUDKrVk&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=24&pp=iAQB
25,Operations on Tuples in Python | Python Tutorial - Day #25,https://www.youtube.com/watch?v=XblLSduioJI&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=25&pp=iAQB
26,Exercise 2: Solution & Shoutouts | Python Tutorial - Day #26,https://www.youtube.com/watch?v=IZBKXWrbqBM&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=26&pp=iAQB0gcJCdoKAYcqIYzv
27,Exercise 3: Kaun Banega Crorepati (KBC) | Python Tutorial - Day #27,https://www.youtube.com/watch?v=Vs1Z7K70Mvw&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=27&pp=iAQB
28,f-strings in Python | Python Tutorial - Day #28,https://www.youtube.com/watch?v=ixmxgUf8yIg&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=28&pp=iAQB
29,Docstrings in Python | Python Tutorial - Day #29,https://www.youtube.com/watch?v=SJzsNd7SM0g&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=29&pp=iAQB
30,Recursion in Python | Python Tutorial - Day #30,https://www.youtube.com/watch?v=XYwJKFB8DUk&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=30&pp=iAQB
31,Sets in Python | Python Tutorial - Day #31,https://www.youtube.com/watch?v=l3kCO8cVA6o&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=31&pp=iAQB
32,Set Methods in Python | Python Tutorial - Day #32,https://www.youtube.com/watch?v=HOrutCnp2zo&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=32&pp=iAQB
33,Dictionaries in Python | Python Tutorial - Day #33,https://www.youtube.com/watch?v=j2G68uQtOwM&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=33&pp=iAQB
34,Dictionary Methods in Python | Python Tutorial - Day #34,https://www.youtube.com/watch?v=LmbFwaLjT9k&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=34&pp=iAQB
35,for Loop with else in Python | Python Tutorial - Day #35,https://www.youtube.com/watch?v=qUkcIgErZzc&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=35&pp=iAQB
36,Exception Handling in Python | Python Tutorial - Day #36,https://www.youtube.com/watch?v=4LKo6dlku7M&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=36&pp=iAQB
37,Finally keyword in Python | Python Tutorial - Day #37,https://www.youtube.com/watch?v=r_iuC-IDpPM&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=37&pp=iAQB0gcJCdoKAYcqIYzv
38,Raising custom errors in Python | Python Tutorial - Day #38,https://www.youtube.com/watch?v=Phr4CNppYoM&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=38&pp=iAQB
39,Kaun Banega Crorepati: Exercise 3 - Solution & Shoutouts | Python Tutorial - Day #39,https://www.youtube.com/watch?v=nyfeYAxP-EM&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=39&pp=iAQB
40,Exercise 4: Secret Code Language | Python Tutorial - Day #40,https://www.youtube.com/watch?v=pOWJ6WgVRIU&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=40&pp=iAQB
41,Short hand if else statements | Python Tutorial - Day #41,https://www.youtube.com/watch?v=Qqx_zNmQVGI&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=41&pp=iAQB
42,Enumerate Function in Python | Python Tutorial - Day #42,https://www.youtube.com/watch?v=kGnYc_h1geM&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=42&pp=iAQB
43,Virtual Environment in Python | Python Tutorial - Day #43,https://www.youtube.com/watch?v=nt6LlFTWOkg&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=43&pp=iAQB0gcJCdoKAYcqIYzv
44,How import works in Python | Python Tutorial - Day #44,https://www.youtube.com/watch?v=Pr7UOr35NcI&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=44&pp=iAQB
45,"if __name__ == ""__main__"" in Python | Python Tutorial - Day #45",https://www.youtube.com/watch?v=y_CX2Rvitk8&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=45&pp=iAQB
46,os Module in Python | Python Tutorial - Day #46,https://www.youtube.com/watch?v=dkVYSsL90Oo&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=46&pp=iAQB
47,Exercise 4: Solutions and Shoutouts | Python Tutorial - Day #47,https://www.youtube.com/watch?v=4lSQfOJKn7U&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=47&pp=iAQB
48,Local vs Global Variables in Python| Python Tutorial - Day #48,https://www.youtube.com/watch?v=RaG6GgcDt54&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=48&pp=iAQB
49,File IO in Python | Python Tutorial - Day #49,https://www.youtube.com/watch?v=eDBPlcWYses&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=49&pp=iAQB0gcJCdoKAYcqIYzv
50,"read(), readlines() and other methods | Python Tutorial - Day #50",https://www.youtube.com/watch?v=l1FsnQxET9U&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=50&pp=iAQB0gcJCdoKAYcqIYzv
51,"seek(), tell() and other functions | Python Tutorial - Day #51",https://www.youtube.com/watch?v=PByYX-2l5Us&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=51&pp=iAQB
52,Lambda functions in Python | Python Tutorial - Day #52,https://www.youtube.com/watch?v=UfFWf-PXUqE&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=52&pp=iAQB
53,"Map, Filter and Reduce in Python | Python Tutorial - Day #53",https://www.youtube.com/watch?v=OErhjT4f5Cs&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=53&pp=iAQB
54,'is' vs '==' in Python | Python Tutorial - Day #54,https://www.youtube.com/watch?v=TOemdfX_0xc&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=54&pp=iAQB
55,Exercise 5 - Snake Water Gun | Python Tutorial - Day #55,https://www.youtube.com/watch?v=dDsh7FT6-0I&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=55&pp=iAQB
56,Introduction to OOPs in Python | Python Tutorial - Day #56,https://www.youtube.com/watch?v=HQnoYzxOHMw&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=56&pp=iAQB
57,Classes and Objects in Python | Python Tutorial - Day #57,https://www.youtube.com/watch?v=a7baAGCBA9U&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=57&pp=iAQB
58,Constructors in Python | Python Tutorial - Day #58,https://www.youtube.com/watch?v=12HRkYld22c&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=58&pp=iAQB
59,Decorators in Python | Python Tutorial - Day #59,https://www.youtube.com/watch?v=PTBZ674EsvI&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=59&pp=iAQB
60,Getters and Setters in Python | Python Tutorial - Day #60,https://www.youtube.com/watch?v=2gbCT8h9uyk&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=60&pp=iAQB
61,Inheritance in Python | Python Tutorial - Day #61,https://www.youtube.com/watch?v=-KsfUaQEY9Y&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=61&pp=iAQB
62,Access Modifiers in Python | Python Tutorial - Day #62,https://www.youtube.com/watch?v=43FK20rWvKQ&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=62&pp=iAQB0gcJCdoKAYcqIYzv
63,Snake Water Gun Game in Python - Exercise 5 - Solution | Python Tutorial - Day #63,https://www.youtube.com/watch?v=GkfBpm6MN9A&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=63&pp=iAQB
64,Exercise 6 - Library Management System in Python | Python Tutorial - Day #64,https://www.youtube.com/watch?v=mlDZTSH2FFc&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=64&pp=iAQB0gcJCdoKAYcqIYzv
65,Static Methods in Python | Python Tutorial - Day #65,https://www.youtube.com/watch?v=GcSVYNSsJxo&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=65&pp=iAQB
66,Instance variables vs Class variables in Python | Python Tutorial - Day #66,https://www.youtube.com/watch?v=tQdaeiF4j38&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=66&pp=iAQB
67,Exercise 6 Solution - Library Management Software in Python | Python Tutorial - Day #67,https://www.youtube.com/watch?v=uRIEjf2vCIg&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=67&pp=iAQB
68,Exercise 7 - Clear the Clutter | Python Tutorial - Day #68,https://www.youtube.com/watch?v=6KvnP13TnhY&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=68&pp=iAQB
69,Class Methods in Python | Python Tutorial - Day #69,https://www.youtube.com/watch?v=9ynmDLc5FYo&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=69&pp=iAQB
70,Class Methods as Alternative Constructors in Python | Python Tutorial - Day #70,https://www.youtube.com/watch?v=FGlKJdy--p8&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=70&pp=iAQB
71,"dir, __dict__ and help method in Python | Python Tutorial - Day #71",https://www.youtube.com/watch?v=Wgo9TaBcuJ4&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=71&pp=iAQB
72,super keyword in Python | Python Tutorial - Day #72,https://www.youtube.com/watch?v=P648reefNh0&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=72&pp=iAQB
73,Magic/Dunder Methods in Python | Python Tutorial - Day #73,https://www.youtube.com/watch?v=DmgQVJXhuLQ&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=73&pp=iAQB
74,Method Overriding in Python | Python Tutorial - Day #74,https://www.youtube.com/watch?v=46_yfYC36JY&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=74&pp=iAQB
75,Exercise 7 Solution + Shoutouts | Python Tutorial - Day #75,https://www.youtube.com/watch?v=Wt9Shnzv_Yg&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=75&pp=iAQB
76,Exercise 8 - Merge the PDF | Python Tutorial - Day #76,https://www.youtube.com/watch?v=uUbvJ7ZEhPE&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=76&pp=iAQB
77,Operator Overloading in Python | Python Tutorial - Day #77,https://www.youtube.com/watch?v=D67-b2t-y4k&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=77&pp=iAQB
78,Single Inheritance in Python | Python Tutorial - Day #78,https://www.youtube.com/watch?v=U53_Gw55NI8&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=78&pp=iAQB
79,Multiple Inheritance in Python | Python Tutorial - Day #79,https://www.youtube.com/watch?v=4o7xSHgKlvI&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=79&pp=iAQB
80,Multilevel Inheritance in Python | Python Tutorial - Day #80,https://www.youtube.com/watch?v=Il7XMJJeXiA&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=80&pp=iAQB
81,Hybrid and Hierarchical Inheritance in Python | Python Tutorial - Day #81,https://www.youtube.com/watch?v=B4Q8zxRkm_I&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=81&pp=iAQB
