,Title,Title_link
1,Lecture 1 : Flowchart & Pseudocode + Installation | DSA Series by Shradha Khapra Ma'am | C++,https://www.youtube.com/watch?v=VTLCoHnyACE&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=1&pp=iAQB
2,"Lecture 2 : Variable, Data Types & Operators | DSA Series by Shradha Ma'am | C++",https://www.youtube.com/watch?v=Dxu7GKtdbnA&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=2&pp=iAQB
3,Lecture 3: Conditional Statements & Loops | DSA Series by Shradha Ma'am | C++,https://www.youtube.com/watch?v=qR9U6bKxJ7g&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=3&pp=iAQB0gcJCdoKAYcqIYzv
4,Lecture 4: Patterns | DSA Series by Shradha Khapra Ma'am | C++,https://www.youtube.com/watch?v=rga_q2N7vU8&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=4&pp=iAQB
5,Lecture 5: Functions | DSA Series by Shradha Khapra Ma'am | C++,https://www.youtube.com/watch?v=P08Z_NC8GuY&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=5&pp=iAQB
6,Binary Number System | DSA Series by Shradha Khapra Ma'am | C++,https://www.youtube.com/watch?v=xpy5NXiBFvA&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=6&pp=iAQB
7,"Bitwise Operators, Data Type Modifiers & more | DSA Series by Shradha Khapra Ma'am | C++",https://www.youtube.com/watch?v=r-u4uh3QvsQ&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=7&pp=iAQB
8,Array Data Structure - Part1 | DSA Series by Shradha Khapra Ma'am | C++,https://www.youtube.com/watch?v=8wmn7k1TTcI&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=8&pp=iAQB0gcJCdoKAYcqIYzv
9,Vectors in C++ | Arrays Part 2 | DSA Series by Shradha Ma'am | Lecture 9,https://www.youtube.com/watch?v=NWg38xWYzEg&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=9&pp=iAQB
10,Kadane's Algorithm | Maximum Subarray Sum | DSA Series by Shradha Ma'am,https://www.youtube.com/watch?v=9IZYqostl2M&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=10&pp=iAQB0gcJCdoKAYcqIYzv
11,Majority Element | Brute- Better-Best Approach | Moore's Voting Algorithm | & Pair Sum,https://www.youtube.com/watch?v=_xqIp2rj8bo&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=11&pp=iAQB
12,Time & Space Complexity - DSA Series by Shradha Ma'am,https://www.youtube.com/watch?v=PwKv8fOcriM&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=12&pp=iAQB
13,"Buy and Sell Stock Problem and Pow(X,N) Power exponential Problem - Leetcode | DSA Series",https://www.youtube.com/watch?v=WBzZCm46mFo&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=13&pp=iAQB
14,Container with Most Water Problem | Brute & Optimal Solution | Two Pointer Approach - Leetcode 11,https://www.youtube.com/watch?v=EbkMABpP52U&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=14&pp=iAQB0gcJCdoKAYcqIYzv
15,Product of Array Except Self | Brute to Optimal Solution | Leetcode 238,https://www.youtube.com/watch?v=TW2m8m_FNJE&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=15&pp=iAQB
16,Pointers in C++ | In Detail | DSA Series by Shradha Ma'am,https://www.youtube.com/watch?v=qYEjR6M0wSk&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=16&pp=iAQB
17,Binary Search Algorithm - Iterative and Recursive Method | [Theory + Code] with Example,https://www.youtube.com/watch?v=TbbSJrY5GqQ&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=17&pp=iAQB
18,Search in Rotated Sorted Array | Binary Search | Leetcode 33,https://www.youtube.com/watch?v=6WNZQBHWQJs&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=18&pp=iAQB
19,Peak Index in Mountain Array | Binary Search | Leetcode 852,https://www.youtube.com/watch?v=RjxD6UXGlhc&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=19&pp=iAQB
20,Single Element in Sorted Array | Binary Search | DSA Series Lecture 20,https://www.youtube.com/watch?v=qsbCBduIs40&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=20&pp=iAQB
21,Book Allocation or Allocate Books Problem | DSA Series - Binary Search,https://www.youtube.com/watch?v=JRAByolWqhw&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=21&pp=iAQB
22,Painter's Partition Problem | DSA Placement Series - Binary Search | Lecture 22,https://www.youtube.com/watch?v=srsFN5OHBgw&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=22&pp=iAQB
23,Aggressive Cows Problem | DSA Placement Series - Binary Search | Lecture 23,https://www.youtube.com/watch?v=7wOzDqsfXy0&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=23&pp=iAQB
24,"Sorting Algorithms | Bubble Sort, Selection Sort & Insertion Sort | DSA Series by Shradha Ma'am",https://www.youtube.com/watch?v=1jCFUv-Xlqo&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=24&pp=iAQB
25,"Sort an Array of 0s, 1s & 2s | DNF Sorting Algorithm | Leetcode 75",https://www.youtube.com/watch?v=J48aGjfjYTI&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=25&pp=iAQB
26,Merge Sorted Arrays Problem and Next Permutation Problem | DSA Series,https://www.youtube.com/watch?v=-1cLK6PaLsQ&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=26&pp=iAQB
27,C++ STL Complete Tutorial | Standard Template Library - One Shot,https://www.youtube.com/watch?v=okhdtEk1iKk&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=27&pp=iAQB
28,How to setup C++ compiler on Mac ? | Software Installation for Mac users,https://www.youtube.com/watch?v=varXreLWPRo&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=28&pp=iAQB
29,Strings & Character Arrays in C++ - Part 1 | DSA Placement Series,https://www.youtube.com/watch?v=MOSjYaVymcU&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=29&pp=iAQB
